Area;Perimeter;Major_Axis_Length;Minor_Axis_Length;Eccentricity;Convex_Area;Extent;Class
13148;4817219849;2015188904;8454153442;907745302;13572;623748779;Cammeo
12792;462072998;1944810028;8473088837;900103092;13032;593927026;Cammeo
15778;5152730103;2140378418;9549766541;89494729;16283;68629837;Cammeo
15404;5095169983;2172975769;9139753723;907241523;15696;633700848;Cammeo
14911;4940889893;2075602417;9241060638;895419717;15132;604761541;Cammeo
15360;5042319946;2103907471;9474095917;892872512;15751;757657945;Cammeo
15746;5032309875;2048744354;9944870758;874284983;16171;753036797;Cammeo
14304;4890369873;2110266113;8683942413;911405563;14483;577729285;Cammeo
15136;5186439819;2217091064;8820763397;917449176;15469;529712319;Cammeo
12919;4752600098;2018156586;8320626831;91105336;13256;765162289;Cammeo
15224;5108819885;213196167;9232341003;901372612;15686;639529526;Cammeo
12950;4685700073;1966167908;8480031586;902209818;13584;761809528;Cammeo
13536;478006012;2031737823;8591057587;906203032;13810;552805662;Cammeo
15551;5084070129;2170155029;9215181732;905365825;15786;807424724;Cammeo
14166;4837049866;2046273193;8899236298;900478899;14412;766061008;Cammeo
13916;4788779907;201639679;8856097412;898387313;14221;603993058;Cammeo
12308;4516090088;1932675323;8165988922;906352401;12488;724042594;Cammeo
15127;4997999878;2129039154;9115163422;903714776;15370;712999642;Cammeo
14115;4862720032;2075510406;8778108978;906158924;14422;600817263;Cammeo
17313;5319840088;2255345917;9844350433;899709284;17582;569881499;Cammeo
15147;5112940063;2160992889;9094638824;907128096;15637;53485167;Cammeo
16419;5314210205;2240659485;9454113007;906626344;16874;550419033;Cammeo
13737;4843850098;2095435181;841657486;915787816;13944;605207503;Cammeo
14053;497052002;216191864;84159935;921117961;14416;808387041;Cammeo
11549;4402479858;1791168823;8449580383;881740093;11961;595401347;Cammeo
16490;5203189697;2120107574;1016800079;877488136;16873;629365265;Cammeo
14011;4758729858;1977286377;9115908051;887383878;14315;777611256;Cammeo
15809;5184550171;2210706787;922322998;908811331;16079;814812899;Cammeo
12473;4703399963;2024428253;7902429962;920664966;12806;525976241;Cammeo
15319;5060249939;2082277527;9483874512;890257895;15813;573702335;Cammeo
15498;5127039795;2158083496;9262403107;903211474;15914;578888416;Cammeo
13902;4792319946;2011148834;8912859344;896436334;14202;698698282;Cammeo
14837;4998320007;2100672455;9126864624;900684655;15263;680097163;Cammeo
15113;4937380066;2065661316;941913681;889986694;15374;659035385;Cammeo
16091;5088309937;2091838837;9923175812;880322516;16431;670458317;Cammeo
15543;5073850098;2116512146;9457139587;894620597;15976;652930081;Cammeo
13683;4929750061;2139091949;8312070465;921415269;14070;761266291;Cammeo
12161;4450480042;1823347473;8627270508;880978882;12428;602805614;Cammeo
13711;4832149963;2038807678;8662690735;905244946;14097;561466038;Cammeo
12518;4733840027;2039220581;8000766754;919818401;12778;680326104;Cammeo
13302;4826900024;20939711;81748909;92064476;13827;595327616;Cammeo
16418;5349899902;2301585846;9178717804;917038023;16736;646276176;Cammeo
14166;4916130066;2090363464;8752461243;908122182;14386;602295935;Cammeo
14988;499355011;2122619781;9098807526;903466225;15245;588688135;Cammeo
14223;4809530029;2013895569;9038588715;893626571;14441;641947985;Cammeo
12518;4607219849;1956509247;8236373901;9070732;12813;689887047;Cammeo
12854;4741380005;2021957092;8174695587;914628148;13242;643278956;Cammeo
15705;4989639893;2085411682;9663723755;886151075;16009;773645341;Cammeo
14451;4872200012;201294693;9273952484;887548029;14776;647272229;Cammeo
14064;4868900146;2041630707;8852142334;901114106;14388;648379505;Cammeo
13524;4874689941;2081534271;8361426544;915773332;13830;637924552;Cammeo
13677;4946350098;2195995636;7963166046;931936264;13936;532096148;Cammeo
12921;4767460022;2062226257;8040367889;920862377;13218;546920657;Cammeo
13251;4605320129;1909163055;8899755859;884700418;13528;749915123;Cammeo
14601;5052489929;2159343872;867587204;915735006;14991;668543935;Cammeo
15141;50542099;2095935974;9309237671;895949185;15559;566399813;Cammeo
12599;4552810059;1880159149;8637448883;888229549;12897;621252477;Cammeo
14709;5158499756;2227228394;854315567;923508525;14941;524796605;Cammeo
12047;4556080017;1956660767;8026914215;911979675;12339;544030011;Cammeo
13158;4709960022;2010183868;8450301361;907350659;13462;619783342;Cammeo
15191;5018919983;2117231903;9278570557;898857653;15492;568376541;Cammeo
13837;4835939941;2043109283;8728925323;904139519;14139;569423854;Cammeo
13645;4843250122;2055389709;8592192841;908432186;13972;547134995;Cammeo
16199;5112279968;2100016479;9941775513;880839944;16637;738264501;Cammeo
13169;4748370056;2013801117;8448709106;907736659;13505;547112584;Cammeo
14022;4830190125;2044829559;8856926727;901327789;14358;704729378;Cammeo
12471;4453739929;1849920654;8685975647;882915258;12688;671784103;Cammeo
12706;4634509888;1941814575;8488485718;899392545;13011;797314286;Cammeo
14918;5002709961;2104246063;9121054077;901173055;15185;640725017;Cammeo
14641;5050020142;2115836487;9003343201;904948235;15034;629557967;Cammeo
15216;5003680115;2082284241;9430258179;891571224;15558;573042572;Cammeo
12349;4676650085;2026878052;7867498016;921592653;12572;548162282;Cammeo
13584;4780570068;2038369446;8542742157;90794152;13877;676325619;Cammeo
14138;4908340149;2061808472;8936727905;901181817;14523;762567401;Cammeo
11956;4388959961;1846437073;8321842194;89267683;12121;577027023;Cammeo
10604;4259259949;1791511841;763516922;904635668;10830;574898362;Cammeo
14592;4944400024;2126799774;8828739166;90976733;14838;745631039;Cammeo
12770;458302002;196632782;8319528198;906083107;12949;602870345;Cammeo
15143;5041400146;2077341766;9414838409;891400874;15628;571326137;Cammeo
12917;4732349854;2003253326;832011795;909670651;13302;666099429;Cammeo
15714;5011549988;2050133057;9927554321;874935448;16074;733887553;Cammeo
14655;4917149963;2001468964;9478046417;880764484;15181;600910306;Cammeo
15639;4991390076;2079804535;9629037476;886369765;15895;706783593;Cammeo
15166;5021650085;2141398621;9138510895;904367626;15475;79486376;Cammeo
13742;4938540039;2126080017;8488685608;916835725;14272;583227217;Cammeo
13983;4836679993;2014852142;8905701447;897013724;14320;567491889;Cammeo
11386;4501199951;195460434;7584288788;921650231;11612;512859762;Cammeo
15636;5132269897;2143835602;9397776031;898798168;15913;566275537;Cammeo
13507;4682390137;1975092468;8792959595;895434976;13735;577222228;Cammeo
13186;4773340149;2015967712;8466999054;907525599;13516;541831017;Cammeo
14013;4589110107;1819514923;9944376373;83743304;14323;794387758;Cammeo
16053;5238400269;2209137726;9389167786;905186296;16496;747973144;Cammeo
13557;4839089966;2062037201;8438730621;912425697;13845;552580118;Cammeo
13104;4769890137;2024251099;8361328888;910704792;13464;538815796;Cammeo
15167;5142310181;220546524;8899761963;914965451;15456;628033102;Cammeo
14159;4894360046;2091313171;8711465454;909110606;14410;547948897;Cammeo
14436;4858259888;2044699554;9074992371;896110952;14864;614480913;Cammeo
15320;5119299927;2186231537;9116981506;908898175;15740;545642316;Cammeo
15341;5044630127;2108721924;939865799;895180404;15628;768972456;Cammeo
14399;4840820007;2001735382;9285159302;885910869;14849;604796708;Cammeo
16835;5225349731;2162716522;1004325104;885635376;17404;735217035;Cammeo
13655;4715249939;1931961823;9155775452;880572855;14053;710975766;Cammeo
14276;4928399963;2088769531;8812108612;906651497;14706;582456112;Cammeo
12199;4544039917;1919095764;8214076233;903770208;12555;750522971;Cammeo
12223;4454389954;1850290833;8537150574;887194812;12460;796027362;Cammeo
13884;4916180115;2076543732;863434906;909454346;14232;542364955;Cammeo
15833;530335022;2252233887;9151106262;913734198;16337;586407423;Cammeo
12861;47192099;1932509155;8645822144;89433974;13330;633421957;Cammeo
15080;500006012;2095892792;9279666138;896642745;15614;732323229;Cammeo
16898;5269439697;2178717957;1003450317;887623787;17274;624464154;Cammeo
16254;5327780151;2235486298;9411949921;907049179;16680;553685784;Cammeo
14274;4888299866;2035678558;8992999268;897128761;14529;572356522;Cammeo
13965;4785769958;2032763519;881075058;901183844;14135;80787921;Cammeo
13860;4847720032;2007766266;8884082794;896775484;14238;660881162;Cammeo
13568;4824570007;2018804779;8707385254;902201951;14068;635801315;Cammeo
14546;4941679993;2123137207;8787223816;910331786;14826;625742078;Cammeo
16559;5241290283;223637619;9494790649;905399144;16961;775088906;Cammeo
15308;5139899902;2194679108;9002393341;911999285;15720;763262868;Cammeo
14741;4972250061;2124633636;8945372772;907046139;15036;553714991;Cammeo
13397;4748649902;2005462646;8639673615;902444065;13762;694037199;Cammeo
15559;5142789917;2211190796;9046383667;912481427;15903;775777817;Cammeo
13665;4820769958;208964035;8461726379;914344609;13998;60121429;Cammeo
15390;5115090027;214466095;9245722198;902302206;15788;773289144;Cammeo
14017;4718139954;1946434479;9236013031;880250454;14314;708788455;Cammeo
14209;4962720032;2088229065;8775803375;90740788;14667;565734982;Cammeo
14786;5053890076;2142183838;8942656708;908697546;15177;7341609;Cammeo
15540;516315979;2173872223;9247346497;905012071;16084;632478654;Cammeo
17442;539776001;2285934753;9819204712;903043628;17698;576252162;Cammeo
17082;5484459839;2301887207;9575758362;909366429;17576;592466712;Cammeo
14195;4884599915;2035127106;8995865631;897000432;14555;71735394;Cammeo
15172;5041579895;2132246704;9166706085;902872503;15477;622441053;Cammeo
14434;4866679993;2012719574;9273377228;88753581;14754;625986636;Cammeo
12863;4571910095;1957003937;8450079346;901975811;13023;808586895;Cammeo
14019;4757550049;1945179291;9281695557;87881428;14308;591119945;Cammeo
15888;5185549927;2181940918;9405685425;902318656;16245;55753237;Cammeo
13000;4603710022;1950987549;8572264862;898300886;13231;582855105;Cammeo
14806;5093760071;2141424255;896917038;908059418;15594;708794117;Cammeo
14713;4932120056;2069161224;9164846802;896558344;15162;594032645;Cammeo
13722;4823429871;202278183;8775389099;900995851;14189;605667353;Cammeo
15713;5184520264;2187672577;9242917633;906362891;16038;583519042;Cammeo
12765;4603460083;1963905487;8389897156;904154897;13139;574353218;Cammeo
13487;4737219849;1971196594;8778462219;895363212;13773;751406789;Cammeo
15252;5013320007;2075240479;9427309418;890861213;15595;59171325;Cammeo
13684;4645660095;1895310516;9290573883;871617079;13928;605647504;Cammeo
14709;4895289917;2049234619;9186573029;893886745;15041;639799893;Cammeo
14331;5020299988;2125814514;8735810089;911662638;14618;542758644;Cammeo
15475;5117969971;2204769287;9020722961;91246897;15734;827318907;Cammeo
14368;4915629883;2112970734;8720801544;910854757;14596;62442416;Cammeo
13670;4868099976;2077422028;8457769775;913371086;13923;580960453;Cammeo
14232;5058850098;2141028748;8641410828;914931059;14702;52602011;Cammeo
14441;4953659973;2100232849;8920301819;905320466;14805;540214002;Cammeo
14093;4885979919;2043924561;8915960693;89984113;14463;581106722;Cammeo
15121;5034869995;2129385223;9133050537;90334934;15470;78379637;Cammeo
15569;5287890015;2215768433;9098238373;911809623;16286;565692902;Cammeo
15684;5138909912;2219453278;9082513428;912434399;15944;782010376;Cammeo
14622;4816159973;2000535583;9438363647;881709993;14845;608945549;Cammeo
14850;5092749939;2159631958;8912654877;910870075;15372;799418628;Cammeo
14017;4910979919;21242836;8469094849;917090118;14287;762124836;Cammeo
11513;438625;1897222137;7768550873;912323713;11736;684238672;Cammeo
14793;5013039856;2116011353;9011253357;904788911;15049;66452539;Cammeo
14466;4978399963;2044095459;9121478271;89491564;14885;656500995;Cammeo
12162;454776001;1911208038;8231742859;902490914;12493;745220602;Cammeo
17180;5472150269;2384350891;9301494598;920769989;17517;572208881;Cammeo
13831;4836159973;2028757782;8829086304;900335431;14270;591068387;Cammeo
13925;4782900085;1965747681;9143114471;885246873;14323;662779629;Cammeo
14045;4827420044;2000272369;907138443;891252458;14305;572610915;Cammeo
16588;5313950195;221885498;9665257263;900142014;16854;578987777;Cammeo
14966;4996380005;205474823;9338162231;890763342;15387;58142966;Cammeo
16011;5250689697;2229464569;9238245392;910108268;16298;556633294;Cammeo
14050;4812510071;1918238525;9506197357;86856854;14600;607698977;Cammeo
14173;4806830139;2019357605;9024497986;894584179;14519;597563028;Cammeo
14106;4872520142;2095693817;8655519867;910724461;14348;542705476;Cammeo
15967;5116149902;2116907806;9697522736;888901412;16329;586676955;Cammeo
11667;4475249939;1866712494;8084287262;901357353;12039;667295814;Cammeo
14890;5025409851;2062285309;9345731354;891422331;15349;589819789;Cammeo
13279;4742359924;2005447083;8500814056;905715466;13757;728494644;Cammeo
13942;5020310059;2143379822;8371970367;92056191;14273;644508123;Cammeo
13545;4827359924;2088032684;8330515289;916966259;13759;532554865;Cammeo
14126;4984249878;2168854828;8381038666;922320008;14410;760771215;Cammeo
14530;4870969849;2018062286;9305895233;887332499;14926;68712759;Cammeo
13708;4863959961;2046237335;8633972931;906621933;14361;580675244;Cammeo
14252;4931140137;2026546021;9130965424;892742157;14627;563765824;Cammeo
14571;4897309875;2023937683;9294208527;888325572;14884;584898829;Cammeo
16194;5281209717;2268743896;9163518524;914801955;16524;552017987;Cammeo
14356;4920220032;2093755646;8859430695;906066239;14652;576824188;Cammeo
15691;511848999;2136121674;9491934967;895851433;16124;659147263;Cammeo
14105;4962279968;2092754211;8694194794;909619331;14567;603706539;Cammeo
14013;4782770081;1947825623;9295032501;878794491;14374;604008615;Cammeo
15009;5024880066;2110903625;9176154327;900574028;15370;615753829;Cammeo
13954;4845320129;2036781769;8820871735;901356041;14288;750860929;Cammeo
16226;517684021;2170805664;9593837738;897040546;16466;583144665;Cammeo
14505;4926820068;2054121399;9076255035;897086084;14834;582951546;Cammeo
15281;5095169983;2126968842;9299383545;899358034;15689;640229583;Cammeo
15009;5074169922;2171329956;8892488098;912291646;15387;598588169;Cammeo
14652;4855469971;2015536041;9344861603;886022866;14883;593150377;Cammeo
15330;501696991;2096793213;9387272644;894185483;15617;582623899;Cammeo
14407;48279599;2028323364;9119192505;893233716;14671;742628872;Cammeo
15741;523776001;2275023346;891243515;920071125;15999;563224554;Cammeo
14589;4959299927;2102839355;8942494965;905072153;14853;665101409;Cammeo
16376;5310009766;2279448547;9266851807;913633347;16667;741767466;Cammeo
14294;4841940002;2051284027;8900131226;900970221;14542;70445025;Cammeo
14541;4927850037;2042571411;9247101593;891653419;14893;758291602;Cammeo
16734;531507019;2206954803;9783933258;896362066;17242;657111466;Cammeo
13434;4833649902;2045680237;8415599823;911462128;13773;722258091;Cammeo
14878;5060209961;2121815796;9043865204;904613733;15237;575774014;Cammeo
14504;5025069885;2122475739;8793212891;910144746;14895;553418815;Cammeo
14723;4910549927;2041756744;9306549072;890076637;15021;575679362;Cammeo
15830;5205100098;2194476166;9266460419;906473398;16121;595112801;Cammeo
14549;485493988;1997572784;9364827728;883298874;14846;619238138;Cammeo
14700;5064639893;2154302979;8776007843;913262725;15050;707547188;Cammeo
14842;5057260132;2149547424;8866092682;910974264;15313;544500709;Cammeo
14400;4868999939;2001377106;9324651337;88483119;14714;618131876;Cammeo
12892;4735270081;1999391937;8323552704;909225404;13193;564547181;Cammeo
16588;519559021;218394455;9766686249;894432008;16852;640067935;Cammeo
15676;512335022;2147678528;9372193909;899758995;15961;779280186;Cammeo
16706;5336259766;2281561737;9420754242;910772681;17037;636249363;Cammeo
14301;4977739868;209876358;8729936981;909384668;14591;60068047;Cammeo
15070;5040509949;2100259857;9237322235;898086905;15400;648730099;Cammeo
15381;50357901;2118835297;9330974579;8978104;15749;740325391;Cammeo
15252;5025910034;2116311646;9219615936;900118351;15495;574463248;Cammeo
14887;4930450134;199164917;966937027;874239087;15347;617128909;Cammeo
14493;5068410034;2190030823;8491929626;921762943;14804;541106641;Cammeo
14897;4911849976;2057198486;9287569427;89228791;15137;594453335;Cammeo
14690;506855011;2141594849;8887600708;909821808;15064;584397495;Cammeo
13950;4763370056;1936352386;9294416809;877270579;14280;715641499;Cammeo
14421;5078049927;2138856812;8687624359;913792789;14881;650943398;Cammeo
14517;4956149902;2118028259;8803250122;909531891;14815;687520742;Cammeo
14944;5002380066;2095576477;9152841187;899573386;15255;628956258;Cammeo
14570;4699819946;1854014587;1008879166;838981986;14895;654537261;Cammeo
11838;440256012;1813232727;8383839417;886687219;12165;601524413;Cammeo
15223;5149069824;2203685608;8943637848;913940132;15492;550281942;Cammeo
13694;4645599976;1913311005;9170781708;877643049;13918;708799183;Cammeo
17948;5269180298;2140938263;10754245;864684939;18322;666369617;Cammeo
14471;5036740112;2079287262;9016022491;901100039;14894;554954767;Cammeo
16654;5190360107;2172497101;9899957275;890136063;16976;7633847;Cammeo
14990;5077850037;2134854584;9017632294;906409383;15318;565916657;Cammeo
16934;5330859985;2253026733;9645010376;903735518;17323;752622247;Cammeo
16030;5128530273;2102474823;9763128662;885644615;16306;597799718;Cammeo
15035;4866530151;1982198334;9785749817;869642675;15279;623755395;Cammeo
16008;521007019;2228452301;9212952423;910538733;16315;611879826;Cammeo
14362;5045769958;2112930603;8826586151;908565998;14724;541860044;Cammeo
15815;5062900085;2105045776;9650235748;888728678;16112;795843422;Cammeo
14131;4907009888;2069266663;8828404999;904419601;14519;752930522;Cammeo
12619;4706140137;2027645111;8017954254;918495297;12937;607939482;Cammeo
13792;4757820129;1967065887;9034710693;888281822;14183;773267567;Cammeo
14573;4937799988;2093558197;8943750763;904155552;14847;650580347;Cammeo
14345;4910190125;2072198334;8891106415;903272986;14650;592621684;Cammeo
13166;4619389954;185600296;9129359436;870661438;13562;656331003;Cammeo
11794;456322998;1940430756;7879869843;913833678;12116;653479636;Cammeo
13782;471131012;1944383392;9097846222;883779347;14000;596623361;Cammeo
14533;48720401;1968149872;9584307861;87341845;14873;651120067;Cammeo
12557;4432189941;1755974884;9233856964;850575089;12860;622867048;Cammeo
16431;5093850098;2080528717;1019614868;871680319;16875;732219279;Cammeo
11940;4439679871;1873336182;8218278503;898634791;12184;636392713;Cammeo
15856;509019989;2101643829;9776021576;88522625;16160;762674391;Cammeo
15636;5041820068;2121362457;9448931122;89532268;15927;744997144;Cammeo
14787;4923129883;2096788635;9046773529;90213275;15066;795684457;Cammeo
16412;5083670044;2105748596;9999417877;880059838;16759;730591178;Cammeo
15137;494605011;2064585266;9399015045;890363872;15400;761725068;Cammeo
16199;5141560059;2176305084;9551935577;898532927;16475;707688928;Cammeo
15375;5154229736;2159992981;9161693573;905590177;15780;597597957;Cammeo
11447;4473460083;1903890533;7903822327;909757257;11753;543542266;Cammeo
16094;5041260071;2083711853;9903029633;879845917;16325;648533225;Cammeo
11784;4381199951;1817578888;8374436188;887531638;11981;803765118;Cammeo
15517;4813779907;1946375122;1020583878;85150218;15718;650117338;Cammeo
15065;5068200073;2124369049;913702774;902778625;15516;724627197;Cammeo
15529;5090169983;2070513153;969881134;88350302;15993;599737406;Cammeo
13584;4785369873;2046206512;8480614471;910069585;13817;676022708;Cammeo
12618;4578980103;1938157196;8347735596;902492881;12851;582225919;Cammeo
13253;4734419861;1986106567;8591886902;901586175;13535;689972937;Cammeo
15907;5272109985;2242521973;9144113922;913089037;16206;547667384;Cammeo
13084;4737669983;1958382416;8637992859;897468805;13453;588044941;Cammeo
15367;5019070129;2100559845;9447917938;893138885;15644;790605545;Cammeo
13319;4682319946;1929272461;8933763123;886324942;13694;695218682;Cammeo
15715;51125;2109116058;9600473785;890394628;16096;581412554;Cammeo
12745;4530350037;1870058441;8766728973;883307338;13040;605175674;Cammeo
14400;481506012;193782959;9651618958;867140651;14876;683890581;Cammeo
14329;4862770081;2065722961;8921240234;901935816;14588;81276232;Cammeo
14818;4870159912;1978289795;9738611603;870440125;15261;632599056;Cammeo
13391;4861220093;2131120758;8099443817;924963653;13661;520240843;Cammeo
14500;4951069946;2142878418;8666110992;914575815;14712;581208944;Cammeo
15815;504223999;2146546936;949879837;896760941;16059;809779823;Cammeo
12089;4394920044;1835766602;8469467926;887213767;12302;814512849;Cammeo
14746;5043139954;2203434448;8593157959;920819402;14995;797512174;Cammeo
13569;4905419922;2098494873;8340635681;917620361;14061;530039072;Cammeo
15198;4996260071;2106334839;9294599152;897374928;15521;746097207;Cammeo
12720;4722340088;2016408539;8222841644;913072884;13352;745079637;Cammeo
14229;485118988;2065976868;8872132874;903095365;14455;745168865;Cammeo
13567;4814049988;2020196991;8641854858;903886259;13976;750927091;Cammeo
13431;4825299988;2124506073;8118547821;924105227;13786;777977288;Cammeo
12985;4661350098;196666153;8469309235;902521908;13221;588888884;Cammeo
15725;5152579956;2216600952;9123171997;911371887;16027;600488782;Cammeo
15486;5091359863;2111135559;9482223511;893454969;15921;686344922;Cammeo
14674;4971029968;2084364624;9108699036;899460912;15049;682289481;Cammeo
13286;4800710144;2025484009;8511695099;907417536;13633;550144911;Cammeo
15398;5130230103;2140542603;9368448639;899137139;15936;695043802;Cammeo
14145;4866080017;2093532104;8678947449;910021961;14370;766666651;Cammeo
16412;5151149902;2086945496;1019417572;87257874;16857;773785949;Cammeo
15094;5065069885;2179382935;8909558868;912619054;15346;668556511;Cammeo
15360;5152979736;2209217529;8995549011;913346767;15662;641604006;Cammeo
13567;4735750122;1953531189;8923707581;889570057;14020;646786809;Cammeo
13413;4753900146;196856781;8778818512;895058095;13917;571008921;Cammeo
15236;4972770081;2091615601;9406529999;89316678;15563;763709247;Cammeo
15028;49882901;2055384521;9458416748;88782692;15382;577777803;Cammeo
15249;5060499878;2120909424;9249422455;899895132;15582;78304404;Cammeo
14363;49917099;2102455444;8811177826;907944739;14669;606853127;Cammeo
14988;4917070007;2050606689;9485704041;886577368;15270;582013071;Cammeo
14318;477493988;1950235596;9459472656;874490559;14585;760867238;Cammeo
14456;4979880066;2105318909;888842926;90650773;14865;67804879;Cammeo
15857;5153220215;2199654846;9315426636;905898452;16109;699162245;Cammeo
15037;5014670105;2089055786;9230456543;897089779;15452;578613222;Cammeo
12286;4448869934;1832887115;8673105621;880958438;12583;681873679;Cammeo
16990;5353389893;2240871735;986626358;897857189;17371;600905418;Cammeo
14172;5004289856;2185715637;8336390686;924408734;14399;608815193;Cammeo
15074;497178009;2056398163;9462220001;887848675;15536;721105993;Cammeo
17353;5390339966;2209611969;1014541016;888359308;17845;630307674;Cammeo
13415;470355011;1970299377;8765262604;895595372;13629;582248271;Cammeo
16085;5207059937;2174963074;9540557098;89865613;16514;702708602;Cammeo
14023;4916690063;2111591949;8550136566;914354682;14262;539138794;Cammeo
13687;4817449951;2011745758;8795717621;899355471;13979;698316336;Cammeo
14758;5000100098;206285141;9272486877;893281102;15166;582399368;Cammeo
14944;4900440063;2013465424;9604631805;878892481;15305;610657096;Cammeo
16182;5099219971;2111650238;9831332397;885008037;16522;74812758;Cammeo
14413;5020499878;2119916382;8864776611;908370495;14826;57608217;Cammeo
14321;4943450012;2116689911;8682541656;911998153;14583;561277688;Cammeo
15276;5066849976;2121356812;9306375122;898633957;15574;579228759;Cammeo
14407;4949899902;2087490387;8866285706;905318081;14716;573755503;Cammeo
13272;4718999939;2014946899;8415379333;908609033;13492;565728903;Cammeo
14965;4835079956;2035234528;9431124878;886153102;15151;775549352;Cammeo
16122;539;2339135132;8953108215;923850715;16440;511160433;Cammeo
14969;5150980225;2220448456;8743668365;91920495;15269;546214223;Cammeo
12347;4753900146;2070969238;7708044434;928154528;12857;52094847;Cammeo
13816;484276001;1990134888;8986624908;892241478;14356;64245522;Cammeo
12991;47282901;1968968353;8549542999;900809586;13380;736451268;Cammeo
13606;4809460144;2042897186;8528391266;908692777;13861;583697975;Cammeo
14340;4990960083;2072510834;8985896301;901117325;14863;663152039;Cammeo
14360;4944570007;2050970001;9011699677;898297787;14825;657509148;Cammeo
13675;4786069946;1948029175;9032216644;886013627;14146;581420064;Cammeo
14489;4963850098;2100363922;8853156281;906825662;14843;615348697;Cammeo
14751;4990209961;2140371399;8862864685;910240173;14955;552678883;Cammeo
15136;5032600098;2087720184;9406877899;892735362;15471;595905483;Cammeo
13132;4800190125;1992529297;8541971588;903446913;13594;580907702;Cammeo
13689;4836549988;2027220001;8694031525;903368711;14183;776460588;Cammeo
14412;4903240051;2074761353;8968951416;901735425;14703;598853171;Cammeo
12901;475303009;209585968;7926891327;925717056;13219;682809353;Cammeo
13920;4801119995;1956700745;9254843903;881072044;14350;577114403;Cammeo
13410;4831520081;2058757629;8465060425;911557198;13866;731427968;Cammeo
12865;4606659851;1933482361;8572440338;896339715;13120;634556592;Cammeo
12859;4628720093;1933418427;8590898895;89585954;13279;708914518;Cammeo
16523;5318920288;2249954224;9441770172;907689333;16911;577041268;Cammeo
15488;5078829956;2066395264;9687207794;883305728;15968;602552116;Cammeo
9908;4327690125;1881876831;6769534302;933059335;10205;611680448;Cammeo
13418;474901001;1945457001;8970830536;887339413;13973;604305506;Cammeo
15558;5117179871;2139776001;9446471405;897275925;15926;632439017;Cammeo
13244;4676440125;1934249725;8863653564;888824582;13672;797927439;Cammeo
